ID_Transaccion,Fecha,Hora,ID_Cliente,Tipo_Cliente,Rubro,Region_Origen,Region_Destino,Tipo_Servicio,Peso_Kg,Monto_Servicio,ID_Sucursal,Estado_Envio,Fecha_Entrega_Real,Dias_Transito
ENV-1000,09/03/2024,10:38:09,C-3013,Particular,N/A,Valparaíso,Biobío,Express,3.12,24360.0,S-01,Entregado,14/03/2024,5
ENV-1001,18/10/2024,12:18:42,C-320,Particular,N/A,Antofagasta,La Araucanía,Express,8.7,41100.0,S-03,Entregado,24/10/2024,6
ENV-1002,09/03/2025,14:40:38,C-1496,Corporativo,Banca,Metropolitana,La Araucanía,Express,4.75,29250.0,S-04,Entregado,14/03/2025,5
ENV-1003,14/02/2025,08:34:00,C-3185,Corporativo,Tecnología,La Araucanía,La Araucanía,Económico,8.08,20928.0,S-03,Entregado,16/02/2025,2
ENV-1004,26/01/2025,18:41:08,C-4357,Corporativo,Banca,La Araucanía,Biobío,Express,8.09,39270.0,S-03,Entregado,30/01/2025,4
ENV-1005,02/02/2024,14:47:35,C-2895,Corporativo,Salud,La Araucanía,Valparaíso,Económico,5.61,16976.0,S-03,Entregado,05/02/2024,3
ENV-1006,10/05/2024,09:29:01,C-2848,Corporativo,Tecnología,Antofagasta,Biobío,Express,3.92,26760.0,S-01,En tránsito,,
ENV-1007,01/03/2024,20:27:38,C-4524,Corporativo,Salud,La Araucanía,Valparaíso,Económico,6.9,19040.0,S-04,Entregado,05/03/2024,4
ENV-1008,10/09/2024,18:27:17,C-4680,Corporativo,Banca,Metropolitana,La Araucanía,Certificado,6.84,23680.0,S-05,Entregado,17/09/2024,7
ENV-1009,24/01/2025,13:26:25,C-3349,Particular,N/A,La Araucanía,Antofagasta,Económico,1.9,11040.0,S-03,En tránsito,,
ENV-1010,18/08/2024,14:03:06,C-2476,Particular,N/A,Metropolitana,La Araucanía,Paquetería,7.67,30408.0,S-05,Entregado,22/08/2024,4
ENV-1011,29/08/2024,15:49:02,C-4171,Particular,N/A,Valparaíso,Antofagasta,Económico,1.74,10784.0,S-03,Entregado,04/09/2024,6
ENV-1012,29/11/2024,18:45:44,C-2133,Corporativo,Retail,Metropolitana,Metropolitana,Paquetería,3.31,19944.0,S-04,Entregado,03/12/2024,4
ENV-1013,13/07/2024,08:02:53,C-3755,Particular,N/A,Metropolitana,Metropolitana,Paquetería,8.72,32928.0,S-05,Entregado,19/07/2024,6
ENV-1014,07/02/2025,09:37:08,C-673,Corporativo,Educación,Valparaíso,La Araucanía,Express,5.76,32280.0,S-03,Entregado,13/02/2025,6
ENV-1015,17/04/2024,16:32:48,C-437,Particular,N/A,Antofagasta,Valparaíso,Express,2.64,22920.0,S-04,Entregado,18/04/2024,1
ENV-1016,18/02/2024,12:17:50,C-849,Particular,N/A,La Araucanía,Biobío,Express,9.25,42750.0,S-02,Entregado,23/02/2024,5
ENV-1017,06/09/2024,17:58:41,C-4563,Particular,N/A,Antofagasta,Valparaíso,Certificado,6.64,23280.0,S-01,En tránsito,,
ENV-1018,15/01/2024,13:51:30,C-2208,Corporativo,Tecnología,Antofagasta,Antofagasta,Certificado,5.59,21180.0,S-03,En tránsito,,
ENV-1019,03/03/2025,19:15:59,C-2537,Corporativo,Banca,Antofagasta,Antofagasta,Certificado,9.93,29860.0,S-04,Entregado,09/03/2025,6
ENV-1020,18/07/2024,20:39:15,C-1741,Particular,N/A,Metropolitana,Metropolitana,Económico,8.47,21552.0,S-01,Entregado,24/07/2024,6
ENV-1021,09/08/2024,09:35:22,C-3499,Particular,N/A,Metropolitana,Valparaíso,Certificado,6.8,23600.0,S-02,Entregado,14/08/2024,5
ENV-1022,07/11/2024,10:07:49,C-4565,Corporativo,Banca,Valparaíso,Valparaíso,Certificado,0.91,11820.0,S-02,Entregado,13/11/2024,6
ENV-1023,25/01/2025,09:45:20,C-4796,Particular,N/A,La Araucanía,Metropolitana,Económico,3.71,13936.0,S-01,Entregado,30/01/2025,5
ENV-1024,27/01/2025,14:56:46,C-1639,Particular,N/A,Biobío,La Araucanía,Certificado,5.07,20140.0,S-02,Entregado,28/01/2025,1
ENV-1025,02/01/2024,13:16:42,C-2014,Particular,N/A,La Araucanía,Antofagasta,Económico,6.21,17936.0,S-05,Entregado,04/01/2024,2
ENV-1026,22/12/2024,14:57:49,C-2286,Corporativo,Tecnología,Metropolitana,Metropolitana,Certificado,6.43,22860.0,S-03,En tránsito,,
ENV-1027,16/08/2024,08:39:27,C-753,Corporativo,Tecnología,Metropolitana,Biobío,Paquetería,7.28,29472.0,S-05,Entregado,23/08/2024,7
ENV-1028,16/05/2024,14:24:22,C-3418,Corporativo,Banca,Metropolitana,La Araucanía,Económico,9.11,22576.0,S-01,Entregado,20/05/2024,4
ENV-1029,04/01/2025,11:52:21,C-3214,Particular,N/A,Antofagasta,Metropolitana,Económico,5.73,17168.0,S-01,Entregado,09/01/2025,5
ENV-1030,14/02/2025,15:51:44,C-4146,Corporativo,Tecnología,La Araucanía,Biobío,Económico,9.8,23680.0,S-02,Entregado,21/02/2025,7
ENV-1031,27/04/2024,11:39:33,C-2358,Particular,N/A,La Araucanía,Metropolitana,Económico,1.22,9952.0,S-04,Entregado,29/04/2024,2
ENV-1032,29/10/2024,10:03:21,C-2396,Particular,N/A,Biobío,La Araucanía,Paquetería,4.71,23304.0,S-04,Entregado,01/11/2024,3
ENV-1033,22/02/2024,18:07:57,C-4956,Particular,N/A,La Araucanía,La Araucanía,Express,1.11,18330.0,S-05,Entregado,24/02/2024,2
ENV-1034,11/06/2024,16:11:34,C-3979,Particular,N/A,Antofagasta,Valparaíso,Paquetería,7.45,29880.0,S-02,Entregado,15/06/2024,4
ENV-1035,16/01/2024,18:40:31,C-757,Corporativo,Retail,Valparaíso,Metropolitana,Económico,8.09,20944.0,S-02,Demorado,,
ENV-1036,12/01/2024,13:48:45,C-3383,Particular,N/A,Metropolitana,La Araucanía,Express,5.28,30840.0,S-04,Entregado,18/01/2024,6
ENV-1037,14/01/2024,10:37:01,C-1839,Particular,N/A,La Araucanía,Valparaíso,Económico,4.38,15008.0,S-05,Demorado,,
ENV-1038,28/11/2024,15:57:13,C-1638,Corporativo,Educación,La Araucanía,Biobío,Express,0.76,17280.0,S-04,En tránsito,,
ENV-1039,04/10/2024,14:40:53,C-3946,Particular,N/A,Valparaíso,Biobío,Paquetería,5.69,25656.0,S-03,Entregado,06/10/2024,2
ENV-1040,05/01/2024,10:25:45,C-995,Particular,N/A,Biobío,Biobío,Express,2.62,22860.0,S-01,En tránsito,,
ENV-1041,27/03/2025,11:06:15,C-4217,Particular,N/A,Biobío,Biobío,Certificado,0.92,11840.0,S-04,Entregado,30/03/2025,3
ENV-1042,14/07/2024,12:21:42,C-2942,Corporativo,Tecnología,La Araucanía,Valparaíso,Express,7.36,37080.0,S-05,Demorado,,
ENV-1043,17/12/2024,11:50:43,C-4657,Particular,N/A,Metropolitana,Valparaíso,Económico,7.46,19936.0,S-03,Entregado,23/12/2024,6
ENV-1044,20/04/2024,13:30:23,C-4454,Corporativo,Tecnología,Valparaíso,Antofagasta,Express,3.77,26310.0,S-02,Entregado,26/04/2024,6
ENV-1045,04/08/2024,13:49:42,C-684,Particular,N/A,Antofagasta,Metropolitana,Económico,1.93,11088.0,S-04,Entregado,09/08/2024,5
ENV-1046,06/01/2025,19:59:12,C-257,Particular,N/A,Valparaíso,Valparaíso,Certificado,5.18,20360.0,S-01,Entregado,12/01/2025,6
ENV-1047,15/01/2024,14:28:25,C-670,Corporativo,Educación,Antofagasta,Antofagasta,Paquetería,1.03,14472.0,S-02,En tránsito,,
ENV-1048,27/09/2024,16:07:36,C-2648,Corporativo,Educación,Biobío,Antofagasta,Económico,7.81,20496.0,S-05,Entregado,28/09/2024,1
ENV-1049,23/04/2024,15:59:17,C-2002,Corporativo,Retail,Metropolitana,Valparaíso,Certificado,4.81,19620.0,S-02,Entregado,25/04/2024,2
ENV-1050,26/01/2025,16:09:00,C-3626,Corporativo,Retail,Biobío,Valparaíso,Económico,9.61,23376.0,S-04,Demorado,,
ENV-1051,12/08/2024,14:26:06,C-744,Particular,N/A,La Araucanía,Biobío,Paquetería,1.18,14832.0,S-05,En tránsito,,
ENV-1052,10/09/2024,20:01:41,C-1579,Corporativo,Banca,La Araucanía,Valparaíso,Express,7.01,36030.0,S-05,Entregado,15/09/2024,5
ENV-1053,10/10/2024,09:11:29,C-271,Corporativo,Salud,La Araucanía,Metropolitana,Paquetería,8.06,31344.0,S-01,Entregado,16/10/2024,6
ENV-1054,29/04/2024,20:24:42,C-3616,Particular,N/A,Biobío,Biobío,Paquetería,7.3,29520.0,S-03,En tránsito,,
ENV-1055,25/06/2024,16:51:52,C-1088,Corporativo,E-commerce,Valparaíso,Valparaíso,Certificado,4.67,19340.0,S-02,Entregado,01/07/2024,6
ENV-1056,28/04/2024,11:09:09,C-702,Particular,N/A,Biobío,Antofagasta,Económico,5.51,16816.0,S-03,En tránsito,,
ENV-1057,12/12/2024,16:52:06,C-3858,Corporativo,Retail,Biobío,Valparaíso,Económico,6.19,17904.0,S-03,Entregado,19/12/2024,7
ENV-1058,22/04/2024,12:01:29,C-529,Particular,N/A,Antofagasta,Metropolitana,Paquetería,0.69,13656.0,S-02,Entregado,26/04/2024,4
ENV-1059,24/01/2025,14:51:40,C-410,Particular,N/A,La Araucanía,La Araucanía,Paquetería,9.96,35904.0,S-04,Entregado,25/01/2025,1
ENV-1060,23/08/2024,19:47:50,C-1182,Corporativo,Salud,Valparaíso,Valparaíso,Certificado,2.62,15240.0,S-02,Demorado,,
ENV-1061,28/05/2024,11:34:44,C-4049,Particular,N/A,La Araucanía,La Araucanía,Económico,6.47,18352.0,S-02,Demorado,,
ENV-1062,12/01/2024,14:00:34,C-1028,Particular,N/A,Metropolitana,Valparaíso,Económico,1.35,10160.0,S-04,En tránsito,,
ENV-1063,01/08/2024,20:15:27,C-4049,Particular,N/A,Valparaíso,Metropolitana,Paquetería,1.76,16224.0,S-05,Entregado,04/08/2024,3
ENV-1064,04/03/2025,10:42:11,C-3573,Corporativo,E-commerce,La Araucanía,La Araucanía,Express,4.96,29880.0,S-04,En tránsito,,
